ensembl_A,ensembl_B
ENSSSAG00000002810,ENSSSAG00000054554
ENSSSAG00000017038,ENSSSAG00000054898
ENSSSAG00000074566,ENSSSAG00000054898
ENSSSAG00000100619,ENSSSAG00000103344
ENSSSAG00000053569,ENSSSAG00000114439
ENSSSAG00000105316,ENSSSAG00000085349
ENSSSAG00000111433,ENSSSAG00000070441
ENSSSAG00000040203,ENSSSAG00000120215
ENSSSAG00000068653,ENSSSAG00000010786
ENSSSAG00000087757,ENSSSAG00000051956
ENSSSAG00000077845,ENSSSAG00000010786
ENSSSAG00000106447,ENSSSAG00000043589
ENSSSAG00000065529,ENSSSAG00000039816
ENSSSAG00000004185,ENSSSAG00000113721
ENSSSAG00000073443,ENSSSAG00000077634
ENSSSAG00000015001,ENSSSAG00000078040
ENSSSAG00000075333,ENSSSAG00000064538
ENSSSAG00000106067,ENSSSAG00000079460
ENSSSAG00000122294,ENSSSAG00000007604
ENSSSAG00000117178,ENSSSAG00000054556
ENSSSAG00000007442,ENSSSAG00000056237
ENSSSAG00000074549,ENSSSAG00000120982
ENSSSAG00000065960,ENSSSAG00000091206
ENSSSAG00000073018,ENSSSAG00000031908
ENSSSAG00000078142,ENSSSAG00000080573
ENSSSAG00000004407,ENSSSAG00000040607
ENSSSAG00000033083,ENSSSAG00000076100
ENSSSAG00000071535,ENSSSAG00000091038
ENSSSAG00000051381,ENSSSAG00000066332
ENSSSAG00000074138,ENSSSAG00000069153
ENSSSAG00000075764,ENSSSAG00000069251
ENSSSAG00000072825,ENSSSAG00000079036
ENSSSAG00000108879,ENSSSAG00000065136
ENSSSAG00000087571,ENSSSAG00000061774
ENSSSAG00000039768,ENSSSAG00000110208
ENSSSAG00000004285,ENSSSAG00000061065
ENSSSAG00000075658,ENSSSAG00000059640
ENSSSAG00000054528,ENSSSAG00000059163
ENSSSAG00000045905,ENSSSAG00000056848
ENSSSAG00000096125,ENSSSAG00000106489
ENSSSAG00000067896,ENSSSAG00000106489
ENSSSAG00000064373,ENSSSAG00000074616
ENSSSAG00000113868,ENSSSAG00000049756
ENSSSAG00000072655,ENSSSAG00000052226
ENSSSAG00000075700,ENSSSAG00000006495
ENSSSAG00000075549,ENSSSAG00000105314
ENSSSAG00000048602,ENSSSAG00000113661
ENSSSAG00000115928,ENSSSAG00000113661
ENSSSAG00000070523,ENSSSAG00000058535
ENSSSAG00000071942,ENSSSAG00000057029
ENSSSAG00000077896,ENSSSAG00000087751
ENSSSAG00000107989,ENSSSAG00000077515
ENSSSAG00000076901,ENSSSAG00000109246
ENSSSAG00000003723,ENSSSAG00000050830
ENSSSAG00000121684,ENSSSAG00000019881
ENSSSAG00000096808,ENSSSAG00000018443
ENSSSAG00000075905,ENSSSAG00000076385
ENSSSAG00000113605,ENSSSAG00000049695
ENSSSAG00000082055,ENSSSAG00000054282
ENSSSAG00000011692,ENSSSAG00000111051
ENSSSAG00000038205,ENSSSAG00000006805
ENSSSAG00000008284,ENSSSAG00000075738
ENSSSAG00000092783,ENSSSAG00000075399
ENSSSAG00000072074,ENSSSAG00000042332
ENSSSAG00000046960,ENSSSAG00000074529
ENSSSAG00000016878,ENSSSAG00000098312
ENSSSAG00000076504,ENSSSAG00000074256
ENSSSAG00000083297,ENSSSAG00000006182
ENSSSAG00000066151,ENSSSAG00000080130
ENSSSAG00000085342,ENSSSAG00000081775
ENSSSAG00000000827,ENSSSAG00000071656
ENSSSAG00000070854,ENSSSAG00000088229
ENSSSAG00000104526,ENSSSAG00000052042
ENSSSAG00000081463,ENSSSAG00000045625
ENSSSAG00000066224,ENSSSAG00000082482
ENSSSAG00000002995,ENSSSAG00000099372
ENSSSAG00000119609,ENSSSAG00000078817
ENSSSAG00000015729,ENSSSAG00000072428
ENSSSAG00000091439,ENSSSAG00000062839
ENSSSAG00000037346,ENSSSAG00000058553
ENSSSAG00000096594,ENSSSAG00000081888
ENSSSAG00000005120,ENSSSAG00000074591
ENSSSAG00000042352,ENSSSAG00000074579
ENSSSAG00000008503,ENSSSAG00000094148
ENSSSAG00000051846,ENSSSAG00000107131
ENSSSAG00000065133,ENSSSAG00000045429
ENSSSAG00000110482,ENSSSAG00000069891
ENSSSAG00000078153,ENSSSAG00000072073
ENSSSAG00000101993,ENSSSAG00000052749
ENSSSAG00000102946,ENSSSAG00000076030
ENSSSAG00000121603,ENSSSAG00000072149
ENSSSAG00000064467,ENSSSAG00000076960
ENSSSAG00000082859,ENSSSAG00000053696
ENSSSAG00000055522,ENSSSAG00000068747
ENSSSAG00000078141,ENSSSAG00000065617
ENSSSAG00000063188,ENSSSAG00000077681
ENSSSAG00000065655,ENSSSAG00000072676
ENSSSAG00000108471,ENSSSAG00000054736
ENSSSAG00000118105,ENSSSAG00000098616
ENSSSAG00000075402,ENSSSAG00000100698
ENSSSAG00000008499,ENSSSAG00000066596
ENSSSAG00000069293,ENSSSAG00000006217
ENSSSAG00000069796,ENSSSAG00000070064
ENSSSAG00000078313,ENSSSAG00000064361
ENSSSAG00000046408,ENSSSAG00000064744
ENSSSAG00000083080,ENSSSAG00000065079
ENSSSAG00000111884,ENSSSAG00000067690
ENSSSAG00000041855,ENSSSAG00000115589
ENSSSAG00000056912,ENSSSAG00000103276
ENSSSAG00000066129,ENSSSAG00000069126
ENSSSAG00000067502,ENSSSAG00000080830
ENSSSAG00000057234,ENSSSAG00000081445
ENSSSAG00000072170,ENSSSAG00000051568
ENSSSAG00000054753,ENSSSAG00000059628
ENSSSAG00000015445,ENSSSAG00000042565
ENSSSAG00000001340,ENSSSAG00000043154
ENSSSAG00000079060,ENSSSAG00000048250
ENSSSAG00000076977,ENSSSAG00000056451
ENSSSAG00000075021,ENSSSAG00000105234
ENSSSAG00000045868,ENSSSAG00000117020
ENSSSAG00000004766,ENSSSAG00000063499
ENSSSAG00000008099,ENSSSAG00000068476
ENSSSAG00000006662,ENSSSAG00000067990
ENSSSAG00000053652,ENSSSAG00000068100
ENSSSAG00000005920,ENSSSAG00000073039
ENSSSAG00000075541,ENSSSAG00000073023
ENSSSAG00000074634,ENSSSAG00000068096
ENSSSAG00000008283,ENSSSAG00000103937
ENSSSAG00000008372,ENSSSAG00000094760
ENSSSAG00000071876,ENSSSAG00000066837
ENSSSAG00000104737,ENSSSAG00000068118
ENSSSAG00000006311,ENSSSAG00000057316
ENSSSAG00000002459,ENSSSAG00000053327
ENSSSAG00000105794,ENSSSAG00000082070
ENSSSAG00000074546,ENSSSAG00000066689
ENSSSAG00000116081,ENSSSAG00000067456
ENSSSAG00000004585,ENSSSAG00000074153
ENSSSAG00000052997,ENSSSAG00000108666
ENSSSAG00000105357,ENSSSAG00000102520
ENSSSAG00000111352,ENSSSAG00000102520
ENSSSAG00000007683,ENSSSAG00000051579
ENSSSAG00000052321,ENSSSAG00000064199
ENSSSAG00000073723,ENSSSAG00000067909
ENSSSAG00000061084,ENSSSAG00000068751
ENSSSAG00000049154,ENSSSAG00000081659
ENSSSAG00000086720,ENSSSAG00000118282
ENSSSAG00000101357,ENSSSAG00000075805
ENSSSAG00000045457,ENSSSAG00000051104
ENSSSAG00000084203,ENSSSAG00000081274
ENSSSAG00000008505,ENSSSAG00000092388
ENSSSAG00000076066,ENSSSAG00000117779
ENSSSAG00000003060,ENSSSAG00000111295
ENSSSAG00000077571,ENSSSAG00000070650
ENSSSAG00000001355,ENSSSAG00000015609
ENSSSAG00000117516,ENSSSAG00000114178
ENSSSAG00000069538,ENSSSAG00000015525
ENSSSAG00000099292,ENSSSAG00000097483
ENSSSAG00000077573,ENSSSAG00000077663
ENSSSAG00000061384,ENSSSAG00000077252
ENSSSAG00000040154,ENSSSAG00000113032
ENSSSAG00000042207,ENSSSAG00000085447
ENSSSAG00000109460,ENSSSAG00000070117
ENSSSAG00000085645,ENSSSAG00000117657
ENSSSAG00000055228,ENSSSAG00000114003
ENSSSAG00000003308,ENSSSAG00000051743
ENSSSAG00000043377,ENSSSAG00000051953
ENSSSAG00000005463,ENSSSAG00000081291
ENSSSAG00000114861,ENSSSAG00000108030
ENSSSAG00000083993,ENSSSAG00000063664
ENSSSAG00000068601,ENSSSAG00000052937
ENSSSAG00000073205,ENSSSAG00000052723
ENSSSAG00000097439,ENSSSAG00000086360
ENSSSAG00000113183,ENSSSAG00000001849
ENSSSAG00000005541,ENSSSAG00000042364
ENSSSAG00000080831,ENSSSAG00000042305
ENSSSAG00000055619,ENSSSAG00000036755
ENSSSAG00000019169,ENSSSAG00000110305
ENSSSAG00000019460,ENSSSAG00000086903
ENSSSAG00000009466,ENSSSAG00000114786
ENSSSAG00000067498,ENSSSAG00000079472
ENSSSAG00000094654,ENSSSAG00000053631
ENSSSAG00000043976,ENSSSAG00000108544
ENSSSAG00000077212,ENSSSAG00000067581
ENSSSAG00000078860,ENSSSAG00000108449
ENSSSAG00000002463,ENSSSAG00000072682
ENSSSAG00000080749,ENSSSAG00000072164
ENSSSAG00000067988,ENSSSAG00000073387
ENSSSAG00000081733,ENSSSAG00000074925
ENSSSAG00000009104,ENSSSAG00000076971
ENSSSAG00000072341,ENSSSAG00000008683
ENSSSAG00000104669,ENSSSAG00000074813
ENSSSAG00000071535,ENSSSAG00000072324
ENSSSAG00000050674,ENSSSAG00000053522
ENSSSAG00000113896,ENSSSAG00000075456
ENSSSAG00000078129,ENSSSAG00000075456
ENSSSAG00000092923,ENSSSAG00000079522
ENSSSAG00000045215,ENSSSAG00000119602
ENSSSAG00000079879,ENSSSAG00000009085
ENSSSAG00000062230,ENSSSAG00000103073
ENSSSAG00000092063,ENSSSAG00000039730
ENSSSAG00000051778,ENSSSAG00000010206
ENSSSAG00000077295,ENSSSAG00000106801
ENSSSAG00000078361,ENSSSAG00000068385
ENSSSAG00000076406,ENSSSAG00000098502
ENSSSAG00000054483,ENSSSAG00000091823
ENSSSAG00000003176,ENSSSAG00000058175
ENSSSAG00000001995,ENSSSAG00000068393
ENSSSAG00000049387,ENSSSAG00000070692
ENSSSAG00000039991,ENSSSAG00000041164
ENSSSAG00000075090,ENSSSAG00000041180
ENSSSAG00000048597,ENSSSAG00000049477
ENSSSAG00000040538,ENSSSAG00000086393
ENSSSAG00000007437,ENSSSAG00000064858
ENSSSAG00000071894,ENSSSAG00000055179
ENSSSAG00000005797,ENSSSAG00000073473
ENSSSAG00000079032,ENSSSAG00000082225
ENSSSAG00000056275,ENSSSAG00000068143
ENSSSAG00000067812,ENSSSAG00000081960
ENSSSAG00000078291,ENSSSAG00000016047
ENSSSAG00000078007,ENSSSAG00000099327
ENSSSAG00000044413,ENSSSAG00000089292
ENSSSAG00000103143,ENSSSAG00000071333
ENSSSAG00000051663,ENSSSAG00000073293
ENSSSAG00000076158,ENSSSAG00000047274
ENSSSAG00000077567,ENSSSAG00000048450
ENSSSAG00000006189,ENSSSAG00000074886
ENSSSAG00000103879,ENSSSAG00000096938
ENSSSAG00000074163,ENSSSAG00000093984
ENSSSAG00000085895,ENSSSAG00000071279
ENSSSAG00000096547,ENSSSAG00000013522
ENSSSAG00000064093,ENSSSAG00000081376
ENSSSAG00000042654,ENSSSAG00000085309
ENSSSAG00000103213,ENSSSAG00000093836
ENSSSAG00000090963,ENSSSAG00000105336
ENSSSAG00000067755,ENSSSAG00000066840
ENSSSAG00000056753,ENSSSAG00000105376
ENSSSAG00000082595,ENSSSAG00000075006
ENSSSAG00000046679,ENSSSAG00000015509
ENSSSAG00000038552,ENSSSAG00000113304
ENSSSAG00000059711,ENSSSAG00000072540
ENSSSAG00000071666,ENSSSAG00000075113
ENSSSAG00000007069,ENSSSAG00000075863
ENSSSAG00000006615,ENSSSAG00000069736
ENSSSAG00000005613,ENSSSAG00000095683
ENSSSAG00000080915,ENSSSAG00000067546
ENSSSAG00000072731,ENSSSAG00000071267
ENSSSAG00000067917,ENSSSAG00000069764
ENSSSAG00000118986,ENSSSAG00000069280
ENSSSAG00000007316,ENSSSAG00000053611
ENSSSAG00000044180,ENSSSAG00000081387
ENSSSAG00000075872,ENSSSAG00000096094
ENSSSAG00000081232,ENSSSAG00000052792
ENSSSAG00000097259,ENSSSAG00000084920
ENSSSAG00000107828,ENSSSAG00000072995
ENSSSAG00000076344,ENSSSAG00000072995
ENSSSAG00000066734,ENSSSAG00000086715
ENSSSAG00000004275,ENSSSAG00000076207
ENSSSAG00000040333,ENSSSAG00000071249
ENSSSAG00000062430,ENSSSAG00000120524
ENSSSAG00000018552,ENSSSAG00000075770
ENSSSAG00000081033,ENSSSAG00000068296
ENSSSAG00000081502,ENSSSAG00000064901
ENSSSAG00000044993,ENSSSAG00000042489
ENSSSAG00000072079,ENSSSAG00000093784
ENSSSAG00000002760,ENSSSAG00000081068
ENSSSAG00000070735,ENSSSAG00000081481
ENSSSAG00000080164,ENSSSAG00000063863
ENSSSAG00000053693,ENSSSAG00000072448
ENSSSAG00000056075,ENSSSAG00000119541
ENSSSAG00000052003,ENSSSAG00000054903
ENSSSAG00000073623,ENSSSAG00000078899
ENSSSAG00000076196,ENSSSAG00000100502
ENSSSAG00000053550,ENSSSAG00000075973
ENSSSAG00000069037,ENSSSAG00000081257
ENSSSAG00000039513,ENSSSAG00000046434
ENSSSAG00000046988,ENSSSAG00000058573
ENSSSAG00000044844,ENSSSAG00000097466
ENSSSAG00000066193,ENSSSAG00000107295
ENSSSAG00000003084,ENSSSAG00000082958
ENSSSAG00000055264,ENSSSAG00000071814
ENSSSAG00000076252,ENSSSAG00000101310
ENSSSAG00000092099,ENSSSAG00000064627
ENSSSAG00000101780,ENSSSAG00000079872
ENSSSAG00000067273,ENSSSAG00000080110
ENSSSAG00000100914,ENSSSAG00000053679
ENSSSAG00000003819,ENSSSAG00000054838
ENSSSAG00000063992,ENSSSAG00000118945
ENSSSAG00000056357,ENSSSAG00000048644
ENSSSAG00000072459,ENSSSAG00000115822
ENSSSAG00000040388,ENSSSAG00000068458
ENSSSAG00000076796,ENSSSAG00000068217
ENSSSAG00000077287,ENSSSAG00000067304
ENSSSAG00000120375,ENSSSAG00000067240
ENSSSAG00000108320,ENSSSAG00000005202
ENSSSAG00000067929,ENSSSAG00000044770
ENSSSAG00000052071,ENSSSAG00000049945
ENSSSAG00000041440,ENSSSAG00000052242
ENSSSAG00000071547,ENSSSAG00000009430
ENSSSAG00000057249,ENSSSAG00000098274
ENSSSAG00000015792,ENSSSAG00000073676
ENSSSAG00000051542,ENSSSAG00000053180
ENSSSAG00000086843,ENSSSAG00000073059
ENSSSAG00000111353,ENSSSAG00000073998
ENSSSAG00000069612,ENSSSAG00000103946
ENSSSAG00000007141,ENSSSAG00000053530
ENSSSAG00000107707,ENSSSAG00000088441
ENSSSAG00000079423,ENSSSAG00000066856
ENSSSAG00000108314,ENSSSAG00000085345
ENSSSAG00000048049,ENSSSAG00000096802
ENSSSAG00000073466,ENSSSAG00000086217
ENSSSAG00000110412,ENSSSAG00000081412
ENSSSAG00000110728,ENSSSAG00000081394
ENSSSAG00000000258,ENSSSAG00000060308
ENSSSAG00000104269,ENSSSAG00000100178
ENSSSAG00000100370,ENSSSAG00000083760
ENSSSAG00000058447,ENSSSAG00000075910
ENSSSAG00000079159,ENSSSAG00000076000
ENSSSAG00000066038,ENSSSAG00000087496
ENSSSAG00000065680,ENSSSAG00000085669
ENSSSAG00000000593,ENSSSAG00000048006
ENSSSAG00000055362,ENSSSAG00000043940
ENSSSAG00000054795,ENSSSAG00000047184
ENSSSAG00000088324,ENSSSAG00000045875
ENSSSAG00000113358,ENSSSAG00000054342
ENSSSAG00000048431,ENSSSAG00000055973
ENSSSAG00000072806,ENSSSAG00000099638
ENSSSAG00000074189,ENSSSAG00000121763
ENSSSAG00000044143,ENSSSAG00000078480
ENSSSAG00000052932,ENSSSAG00000080992
ENSSSAG00000072862,ENSSSAG00000080992
ENSSSAG00000010698,ENSSSAG00000096305
ENSSSAG00000093242,ENSSSAG00000090026
ENSSSAG00000094428,ENSSSAG00000084331
ENSSSAG00000046786,ENSSSAG00000054721
ENSSSAG00000085288,ENSSSAG00000077390
ENSSSAG00000008582,ENSSSAG00000112565
ENSSSAG00000000156,ENSSSAG00000109696
ENSSSAG00000051782,ENSSSAG00000010139
ENSSSAG00000086592,ENSSSAG00000000557
ENSSSAG00000119892,ENSSSAG00000110017
ENSSSAG00000096592,ENSSSAG00000019439
ENSSSAG00000114198,ENSSSAG00000083055
ENSSSAG00000010432,ENSSSAG00000078303
ENSSSAG00000110320,ENSSSAG00000048659
ENSSSAG00000118532,ENSSSAG00000089264
ENSSSAG00000007847,ENSSSAG00000030357
ENSSSAG00000119938,ENSSSAG00000065568
ENSSSAG00000069073,ENSSSAG00000065020
ENSSSAG00000093671,ENSSSAG00000065622
ENSSSAG00000055693,ENSSSAG00000065705
ENSSSAG00000078487,ENSSSAG00000104853
ENSSSAG00000003879,ENSSSAG00000065979
ENSSSAG00000064883,ENSSSAG00000095437
ENSSSAG00000041866,ENSSSAG00000066463
ENSSSAG00000002414,ENSSSAG00000066852
ENSSSAG00000043505,ENSSSAG00000096654
ENSSSAG00000044195,ENSSSAG00000085163
ENSSSAG00000070113,ENSSSAG00000008952
ENSSSAG00000081355,ENSSSAG00000077998
ENSSSAG00000096626,ENSSSAG00000008868
ENSSSAG00000052811,ENSSSAG00000087495
ENSSSAG00000069973,ENSSSAG00000121955
ENSSSAG00000076363,ENSSSAG00000121037
ENSSSAG00000080981,ENSSSAG00000088503
ENSSSAG00000071667,ENSSSAG00000078507
ENSSSAG00000073498,ENSSSAG00000079637
ENSSSAG00000065243,ENSSSAG00000048636
ENSSSAG00000103919,ENSSSAG00000072311
ENSSSAG00000050092,ENSSSAG00000073661
ENSSSAG00000078433,ENSSSAG00000073653
ENSSSAG00000070671,ENSSSAG00000001058
ENSSSAG00000084562,ENSSSAG00000057485
ENSSSAG00000054999,ENSSSAG00000088434
ENSSSAG00000068379,ENSSSAG00000075660
ENSSSAG00000055276,ENSSSAG00000120095
ENSSSAG00000098720,ENSSSAG00000057661
ENSSSAG00000071732,ENSSSAG00000081939
ENSSSAG00000007160,ENSSSAG00000078574
ENSSSAG00000054245,ENSSSAG00000089595
ENSSSAG00000076931,ENSSSAG00000084206
ENSSSAG00000099951,ENSSSAG00000039442
ENSSSAG00000009841,ENSSSAG00000069282
ENSSSAG00000046050,ENSSSAG00000070996
ENSSSAG00000049638,ENSSSAG00000073552
ENSSSAG00000004321,ENSSSAG00000070169
ENSSSAG00000091334,ENSSSAG00000071831
ENSSSAG00000108446,ENSSSAG00000071836
ENSSSAG00000121122,ENSSSAG00000071845
ENSSSAG00000055799,ENSSSAG00000109415
ENSSSAG00000058717,ENSSSAG00000080625
ENSSSAG00000004406,ENSSSAG00000077145
ENSSSAG00000009294,ENSSSAG00000063216
ENSSSAG00000054088,ENSSSAG00000085950
ENSSSAG00000069141,ENSSSAG00000056526
ENSSSAG00000080820,ENSSSAG00000077013
ENSSSAG00000068625,ENSSSAG00000105367
ENSSSAG00000045689,ENSSSAG00000062573
ENSSSAG00000076800,ENSSSAG00000009320
ENSSSAG00000096767,ENSSSAG00000095934
ENSSSAG00000113997,ENSSSAG00000005336
ENSSSAG00000077999,ENSSSAG00000039569
ENSSSAG00000007418,ENSSSAG00000009690
ENSSSAG00000074667,ENSSSAG00000088643
ENSSSAG00000094011,ENSSSAG00000005749
ENSSSAG00000105630,ENSSSAG00000090505
ENSSSAG00000099340,ENSSSAG00000007758
ENSSSAG00000075277,ENSSSAG00000015487
ENSSSAG00000045702,ENSSSAG00000000949
ENSSSAG00000076119,ENSSSAG00000000902
ENSSSAG00000004872,ENSSSAG00000110590
ENSSSAG00000006786,ENSSSAG00000001665
ENSSSAG00000042541,ENSSSAG00000001707
ENSSSAG00000054722,ENSSSAG00000008093
ENSSSAG00000006514,ENSSSAG00000093417
ENSSSAG00000063841,ENSSSAG00000002087
ENSSSAG00000105626,ENSSSAG00000055161
ENSSSAG00000081252,ENSSSAG00000048519
ENSSSAG00000047411,ENSSSAG00000043262
ENSSSAG00000000854,ENSSSAG00000009307
ENSSSAG00000071910,ENSSSAG00000067955
ENSSSAG00000001126,ENSSSAG00000094463
ENSSSAG00000066172,ENSSSAG00000079944
ENSSSAG00000099997,ENSSSAG00000081753
ENSSSAG00000068053,ENSSSAG00000017188
ENSSSAG00000007588,ENSSSAG00000002750
ENSSSAG00000064548,ENSSSAG00000122078
ENSSSAG00000103861,ENSSSAG00000070894
ENSSSAG00000042464,ENSSSAG00000000345
ENSSSAG00000078621,ENSSSAG00000001544
ENSSSAG00000067677,ENSSSAG00000085058
ENSSSAG00000075195,ENSSSAG00000107877
ENSSSAG00000055780,ENSSSAG00000000550
ENSSSAG00000056455,ENSSSAG00000100957
ENSSSAG00000056030,ENSSSAG00000096383
ENSSSAG00000071920,ENSSSAG00000001438
ENSSSAG00000071339,ENSSSAG00000005089
ENSSSAG00000077639,ENSSSAG00000101385
ENSSSAG00000070506,ENSSSAG00000003344
ENSSSAG00000104990,ENSSSAG00000053551
ENSSSAG00000117950,ENSSSAG00000066013
ENSSSAG00000114029,ENSSSAG00000115325
ENSSSAG00000089446,ENSSSAG00000083933
ENSSSAG00000081317,ENSSSAG00000073467
ENSSSAG00000081526,ENSSSAG00000076376
ENSSSAG00000088541,ENSSSAG00000095656
ENSSSAG00000053843,ENSSSAG00000063298
ENSSSAG00000071167,ENSSSAG00000045334
ENSSSAG00000119839,ENSSSAG00000049978
ENSSSAG00000073372,ENSSSAG00000049978
ENSSSAG00000002528,ENSSSAG00000040099
ENSSSAG00000067036,ENSSSAG00000042290
ENSSSAG00000078575,ENSSSAG00000045562
ENSSSAG00000015253,ENSSSAG00000045592
ENSSSAG00000069386,ENSSSAG00000054047
ENSSSAG00000066239,ENSSSAG00000074836
ENSSSAG00000017022,ENSSSAG00000054816
ENSSSAG00000110250,ENSSSAG00000003202
ENSSSAG00000000553,ENSSSAG00000119437
ENSSSAG00000072056,ENSSSAG00000116896
ENSSSAG00000117696,ENSSSAG00000106220
ENSSSAG00000100803,ENSSSAG00000000759
ENSSSAG00000056533,ENSSSAG00000001762
ENSSSAG00000086827,ENSSSAG00000111074
ENSSSAG00000109693,ENSSSAG00000110097
ENSSSAG00000042918,ENSSSAG00000000752
ENSSSAG00000075418,ENSSSAG00000045929
ENSSSAG00000096919,ENSSSAG00000078021
ENSSSAG00000004227,ENSSSAG00000057154
ENSSSAG00000002264,ENSSSAG00000045995
ENSSSAG00000120374,ENSSSAG00000088252
ENSSSAG00000071127,ENSSSAG00000043771
ENSSSAG00000045326,ENSSSAG00000046952
ENSSSAG00000070109,ENSSSAG00000083748
ENSSSAG00000043765,ENSSSAG00000063491
ENSSSAG00000090604,ENSSSAG00000095622
ENSSSAG00000064243,ENSSSAG00000070647
ENSSSAG00000049134,ENSSSAG00000074598
ENSSSAG00000051105,ENSSSAG00000094912
ENSSSAG00000080644,ENSSSAG00000094912
ENSSSAG00000006907,ENSSSAG00000045059
ENSSSAG00000082398,ENSSSAG00000045154
ENSSSAG00000065074,ENSSSAG00000079358
ENSSSAG00000008033,ENSSSAG00000007893
ENSSSAG00000039618,ENSSSAG00000117760
ENSSSAG00000095348,ENSSSAG00000071738
ENSSSAG00000105059,ENSSSAG00000071152
ENSSSAG00000006580,ENSSSAG00000048578
ENSSSAG00000089833,ENSSSAG00000094599
ENSSSAG00000048169,ENSSSAG00000073134
ENSSSAG00000112785,ENSSSAG00000073126
ENSSSAG00000080453,ENSSSAG00000099308
ENSSSAG00000076112,ENSSSAG00000099308
ENSSSAG00000083979,ENSSSAG00000000855
ENSSSAG00000053453,ENSSSAG00000008487
ENSSSAG00000112172,ENSSSAG00000106256
ENSSSAG00000063349,ENSSSAG00000008878
ENSSSAG00000001503,ENSSSAG00000067428
ENSSSAG00000042685,ENSSSAG00000006804
ENSSSAG00000043713,ENSSSAG00000006740
ENSSSAG00000119905,ENSSSAG00000068009
ENSSSAG00000078898,ENSSSAG00000083798
ENSSSAG00000082572,ENSSSAG00000078271
ENSSSAG00000009244,ENSSSAG00000079943
ENSSSAG00000075232,ENSSSAG00000080169
ENSSSAG00000054302,ENSSSAG00000001204
ENSSSAG00000001302,ENSSSAG00000015419
ENSSSAG00000015626,ENSSSAG00000007215
ENSSSAG00000053275,ENSSSAG00000117852
ENSSSAG00000101923,ENSSSAG00000118420
ENSSSAG00000077054,ENSSSAG00000098715
ENSSSAG00000046398,ENSSSAG00000115078
ENSSSAG00000007722,ENSSSAG00000076705
ENSSSAG00000055945,ENSSSAG00000076315
ENSSSAG00000103096,ENSSSAG00000084675
ENSSSAG00000053536,ENSSSAG00000002143
ENSSSAG00000005460,ENSSSAG00000064642
ENSSSAG00000037896,ENSSSAG00000005407
ENSSSAG00000031718,ENSSSAG00000076123
ENSSSAG00000101402,ENSSSAG00000003029
ENSSSAG00000095803,ENSSSAG00000054926
ENSSSAG00000083240,ENSSSAG00000054954
ENSSSAG00000052956,ENSSSAG00000055323
ENSSSAG00000079422,ENSSSAG00000039375
ENSSSAG00000076242,ENSSSAG00000076875
ENSSSAG00000046956,ENSSSAG00000100090
ENSSSAG00000008392,ENSSSAG00000008210
ENSSSAG00000119813,ENSSSAG00000007820
ENSSSAG00000006799,ENSSSAG00000044542
ENSSSAG00000040605,ENSSSAG00000051668
ENSSSAG00000005095,ENSSSAG00000046427
ENSSSAG00000040909,ENSSSAG00000044316
ENSSSAG00000076176,ENSSSAG00000051681
ENSSSAG00000005807,ENSSSAG00000053661
ENSSSAG00000081049,ENSSSAG00000054666
ENSSSAG00000068795,ENSSSAG00000060466
ENSSSAG00000072485,ENSSSAG00000064843
ENSSSAG00000057685,ENSSSAG00000043325
ENSSSAG00000064313,ENSSSAG00000042174
ENSSSAG00000121498,ENSSSAG00000116091
ENSSSAG00000118531,ENSSSAG00000038140
ENSSSAG00000043592,ENSSSAG00000001444
ENSSSAG00000100306,ENSSSAG00000016311
ENSSSAG00000079568,ENSSSAG00000003604
ENSSSAG00000079850,ENSSSAG00000002023
ENSSSAG00000009221,ENSSSAG00000038979
ENSSSAG00000066540,ENSSSAG00000110201
ENSSSAG00000001047,ENSSSAG00000002116
ENSSSAG00000086186,ENSSSAG00000003193
ENSSSAG00000064346,ENSSSAG00000003812
ENSSSAG00000056888,ENSSSAG00000081794
ENSSSAG00000111782,ENSSSAG00000107138
ENSSSAG00000103914,ENSSSAG00000083944
ENSSSAG00000074095,ENSSSAG00000097636
ENSSSAG00000074845,ENSSSAG00000086818
ENSSSAG00000065972,ENSSSAG00000099034
ENSSSAG00000010230,ENSSSAG00000068371
ENSSSAG00000006850,ENSSSAG00000000051
ENSSSAG00000105000,ENSSSAG00000111048
ENSSSAG00000055270,ENSSSAG00000064948
ENSSSAG00000119911,ENSSSAG00000005550
ENSSSAG00000078122,ENSSSAG00000070825
ENSSSAG00000082023,ENSSSAG00000005614
ENSSSAG00000080526,ENSSSAG00000106483
ENSSSAG00000104813,ENSSSAG00000041429
ENSSSAG00000067134,ENSSSAG00000082017
ENSSSAG00000005217,ENSSSAG00000067422
ENSSSAG00000121849,ENSSSAG00000103324
ENSSSAG00000093804,ENSSSAG00000101791
ENSSSAG00000052284,ENSSSAG00000046592
ENSSSAG00000074862,ENSSSAG00000112015
ENSSSAG00000113965,ENSSSAG00000108027
ENSSSAG00000100331,ENSSSAG00000055541
ENSSSAG00000050994,ENSSSAG00000007930
ENSSSAG00000061450,ENSSSAG00000003343
ENSSSAG00000073354,ENSSSAG00000071029
ENSSSAG00000050739,ENSSSAG00000007605
ENSSSAG00000075862,ENSSSAG00000003941
ENSSSAG00000099529,ENSSSAG00000116873
ENSSSAG00000080868,ENSSSAG00000080488
ENSSSAG00000005417,ENSSSAG00000093364
ENSSSAG00000072502,ENSSSAG00000102427
ENSSSAG00000045957,ENSSSAG00000097178
